datetime,price
2024-05-16 17:00:00,530.48
2024-05-16 17:01:00,530.62
2024-05-16 17:02:00,530.5507
2024-05-16 17:03:00,530.504
2024-05-16 17:04:00,530.53
2024-05-16 17:05:00,530.5701
2024-05-16 17:06:00,530.615
2024-05-16 17:07:00,530.57
2024-05-16 17:08:00,530.69
2024-05-16 17:09:00,530.72
2024-05-16 17:10:00,530.69
2024-05-16 17:11:00,530.61
2024-05-16 17:12:00,530.7
2024-05-16 17:13:00,530.6966
2024-05-16 17:14:00,530.765
2024-05-16 17:15:00,530.82
2024-05-16 17:16:00,530.78
2024-05-16 17:17:00,530.75
2024-05-16 17:18:00,530.6499
2024-05-16 17:19:00,530.705
2024-05-16 17:20:00,530.52
2024-05-16 17:21:00,530.06
2024-05-16 17:22:00,529.795
2024-05-16 17:23:00,529.92
2024-05-16 17:24:00,529.63
2024-05-16 17:25:00,529.9
2024-05-16 17:26:00,530.07
2024-05-16 17:27:00,530.04
2024-05-16 17:28:00,529.8713
2024-05-16 17:29:00,529.79
2024-05-16 17:30:00,529.93
2024-05-16 17:31:00,529.93
2024-05-16 17:32:00,530.01
2024-05-16 17:33:00,530.08
2024-05-16 17:34:00,530.02
2024-05-16 17:35:00,529.81
2024-05-16 17:36:00,529.8
2024-05-16 17:37:00,529.66
2024-05-16 17:38:00,529.7
2024-05-16 17:39:00,529.7
2024-05-16 17:40:00,529.82
2024-05-16 17:41:00,529.85
2024-05-16 17:42:00,529.67
2024-05-16 17:43:00,529.76
2024-05-16 17:44:00,529.82
2024-05-16 17:45:00,529.63
2024-05-16 17:46:00,529.6
2024-05-16 17:47:00,529.54
2024-05-16 17:48:00,529.49
2024-05-16 17:49:00,529.52
2024-05-16 17:50:00,529.61
2024-05-16 17:51:00,529.7394
2024-05-16 17:52:00,529.92
2024-05-16 17:53:00,529.915
2024-05-16 17:54:00,529.981
2024-05-16 17:55:00,530.0
2024-05-16 17:56:00,529.98
2024-05-16 17:57:00,530.005
2024-05-16 17:58:00,530.0487
2024-05-16 17:59:00,530.05
2024-05-16 18:00:00,529.98
2024-05-16 18:01:00,529.93
2024-05-16 18:02:00,529.99
2024-05-16 18:03:00,529.92
2024-05-16 18:04:00,529.85
2024-05-16 18:05:00,529.895
2024-05-16 18:06:00,529.6499
2024-05-16 18:07:00,529.64
2024-05-16 18:08:00,529.73
2024-05-16 18:09:00,529.59
2024-05-16 18:10:00,529.495
2024-05-16 18:11:00,529.57
2024-05-16 18:12:00,529.495
2024-05-16 18:13:00,529.42
2024-05-16 18:14:00,529.105
2024-05-16 18:15:00,529.12
2024-05-16 18:16:00,529.16
2024-05-16 18:17:00,529.29
2024-05-16 18:18:00,529.23
2024-05-16 18:19:00,529.33
2024-05-16 18:20:00,529.4
2024-05-16 18:21:00,529.625
2024-05-16 18:22:00,529.62
2024-05-16 18:23:00,529.65
2024-05-16 18:24:00,529.645
2024-05-16 18:25:00,529.63
2024-05-16 18:26:00,529.52
2024-05-16 18:27:00,529.3388
2024-05-16 18:28:00,529.48
2024-05-16 18:29:00,529.465
2024-05-16 18:30:00,529.59
2024-05-16 18:31:00,529.6751
2024-05-16 18:32:00,529.68
2024-05-16 18:33:00,529.8
2024-05-16 18:34:00,529.66
2024-05-16 18:35:00,529.7501
2024-05-16 18:36:00,529.725
2024-05-16 18:37:00,529.74
2024-05-16 18:38:00,529.79
2024-05-16 18:39:00,529.77
2024-05-16 18:40:00,529.805
2024-05-16 18:41:00,529.96
2024-05-16 18:42:00,530.03
2024-05-16 18:43:00,529.975
2024-05-16 18:44:00,530.02
2024-05-16 18:45:00,530.065
2024-05-16 18:46:00,529.96
2024-05-16 18:47:00,529.92
2024-05-16 18:48:00,530.015
2024-05-16 18:49:00,529.94
2024-05-16 18:50:00,529.9
2024-05-16 18:51:00,529.87
2024-05-16 18:52:00,529.87
2024-05-16 18:53:00,529.92
2024-05-16 18:54:00,529.9999
2024-05-16 18:55:00,529.92
2024-05-16 18:56:00,529.8901
2024-05-16 18:57:00,529.905
2024-05-16 18:58:00,530.02
2024-05-16 18:59:00,530.09
2024-05-16 19:00:00,530.0
2024-05-16 19:01:00,530.04
2024-05-16 19:02:00,530.04
2024-05-16 19:03:00,530.115
2024-05-16 19:04:00,530.11
2024-05-16 19:05:00,530.11
2024-05-16 19:06:00,530.1501
2024-05-16 19:07:00,530.105
2024-05-16 19:08:00,530.085
2024-05-16 19:09:00,530.1692
2024-05-16 19:10:00,530.04
2024-05-16 19:11:00,529.93
2024-05-16 19:12:00,529.965
2024-05-16 19:13:00,530.12
2024-05-16 19:14:00,530.04
2024-05-16 19:15:00,530.12
2024-05-16 19:16:00,530.09
2024-05-16 19:17:00,529.98
2024-05-16 19:18:00,529.94
2024-05-16 19:19:00,530.05
2024-05-16 19:20:00,530.04
2024-05-16 19:21:00,529.92
2024-05-16 19:22:00,529.99
2024-05-16 19:23:00,529.9
2024-05-16 19:24:00,529.92
2024-05-16 19:25:00,529.925
2024-05-16 19:26:00,529.95
2024-05-16 19:27:00,529.84
2024-05-16 19:28:00,529.94
2024-05-16 19:29:00,529.89
2024-05-16 19:30:00,529.74
2024-05-16 19:31:00,529.54
2024-05-16 19:32:00,529.6
2024-05-16 19:33:00,529.689
2024-05-16 19:34:00,529.58
2024-05-16 19:35:00,529.62
2024-05-16 19:36:00,529.5
2024-05-16 19:37:00,529.47
2024-05-16 19:38:00,529.21
2024-05-16 19:39:00,529.19
2024-05-16 19:40:00,528.9999
2024-05-16 19:41:00,529.17
2024-05-16 19:42:00,529.015
2024-05-16 19:43:00,529.035
2024-05-16 19:44:00,529.035
2024-05-16 19:45:00,529.01
2024-05-16 19:46:00,529.005
2024-05-16 19:47:00,529.14
2024-05-16 19:48:00,529.225
2024-05-16 19:49:00,529.05
2024-05-16 19:50:00,529.44
2024-05-16 19:51:00,529.59
2024-05-16 19:52:00,529.725
2024-05-16 19:53:00,529.815
2024-05-16 19:54:00,529.94
2024-05-16 19:55:00,529.33
2024-05-16 19:56:00,529.31
2024-05-16 19:57:00,529.2301
2024-05-16 19:58:00,529.185
2024-05-16 19:59:00,528.66
2024-05-16 20:00:00,528.55
2024-05-16 20:01:00,528.4
2024-05-16 20:02:00,528.45
2024-05-16 20:03:00,528.51
2024-05-16 20:04:00,528.59
2024-05-16 20:05:00,528.61
2024-05-16 20:06:00,528.51
2024-05-16 20:07:00,528.535
2024-05-16 20:08:00,528.46
2024-05-16 20:09:00,528.47
2024-05-16 20:10:00,528.47
2024-05-16 20:11:00,528.43
2024-05-16 20:12:00,528.39
2024-05-16 20:13:00,528.3901
2024-05-16 20:14:00,528.44
2024-05-16 20:15:00,528.47
2024-05-16 20:16:00,528.46
2024-05-16 20:17:00,528.45
2024-05-16 20:18:00,528.47
2024-05-16 20:19:00,528.52
2024-05-16 20:20:00,528.53
2024-05-16 20:21:00,528.55
2024-05-16 20:22:00,528.49
2024-05-16 20:23:00,528.46
2024-05-16 20:24:00,528.41
2024-05-16 20:25:00,528.42
2024-05-16 20:26:00,528.39
2024-05-16 20:27:00,528.39
2024-05-16 20:28:00,528.43
2024-05-16 20:29:00,528.3908
2024-05-16 20:30:00,528.35
2024-05-16 20:31:00,528.38
2024-05-16 20:32:00,528.39
2024-05-16 20:33:00,528.25
2024-05-16 20:34:00,528.29
2024-05-16 20:35:00,528.31
2024-05-16 20:36:00,528.36
2024-05-16 20:37:00,528.34
2024-05-16 20:38:00,528.33
2024-05-16 20:39:00,528.35
2024-05-16 20:40:00,528.36
2024-05-16 20:41:00,528.37
2024-05-16 20:42:00,528.34
2024-05-16 20:44:00,528.36
2024-05-16 20:45:00,528.648
2024-05-16 20:46:00,528.4
2024-05-16 20:47:00,528.35
2024-05-16 20:48:00,528.34
2024-05-16 20:49:00,528.35
2024-05-16 20:50:00,528.3
2024-05-16 20:51:00,528.33
2024-05-16 20:52:00,528.29
2024-05-16 20:53:00,528.27
2024-05-16 20:55:00,528.28
2024-05-16 20:56:00,528.29
2024-05-16 20:57:00,528.28
2024-05-16 20:58:00,528.27
2024-05-16 20:59:00,528.29
2024-05-16 21:00:00,528.29
2024-05-16 21:01:00,528.35
2024-05-16 21:02:00,528.25
2024-05-16 21:03:00,528.35
2024-05-16 21:05:00,528.35
2024-05-16 21:07:00,528.34
2024-05-16 21:08:00,528.32
2024-05-16 21:10:00,528.35
2024-05-16 21:11:00,528.38
2024-05-16 21:12:00,528.4
2024-05-16 21:13:00,528.4303
2024-05-16 21:14:00,528.49
2024-05-16 21:15:00,528.49
2024-05-16 21:16:00,528.49
2024-05-16 21:17:00,528.49
2024-05-16 21:18:00,528.57
2024-05-16 21:19:00,528.57
2024-05-16 21:20:00,528.58
2024-05-16 21:21:00,528.57
2024-05-16 21:22:00,528.6
2024-05-16 21:23:00,528.66
2024-05-16 21:24:00,528.57
2024-05-16 21:25:00,528.65
2024-05-16 21:26:00,528.67
2024-05-16 21:27:00,528.68
2024-05-16 21:28:00,528.68
2024-05-16 21:29:00,528.68
2024-05-16 21:30:00,528.65
2024-05-16 21:31:00,528.68
2024-05-16 21:32:00,528.68
2024-05-16 21:33:00,528.68
2024-05-16 21:34:00,528.68
2024-05-16 21:35:00,528.69
2024-05-16 21:36:00,528.71
2024-05-16 21:37:00,528.75
2024-05-16 21:38:00,528.69
2024-05-16 21:39:00,528.72
2024-05-16 21:40:00,528.73
2024-05-16 21:41:00,528.73
2024-05-16 21:44:00,528.74
2024-05-16 21:45:00,528.77
2024-05-16 21:46:00,528.75
2024-05-16 21:47:00,528.8
2024-05-16 21:48:00,528.8
2024-05-16 21:49:00,528.8
2024-05-16 21:50:00,528.8
2024-05-16 21:51:00,528.8
2024-05-16 21:52:00,528.8
2024-05-16 21:53:00,528.77
2024-05-16 21:54:00,528.75
2024-05-16 21:55:00,528.75
2024-05-16 21:56:00,528.75
2024-05-16 21:57:00,528.75
2024-05-16 21:58:00,528.75
2024-05-16 21:59:00,528.75
2024-05-16 22:00:00,528.64
2024-05-16 22:01:00,528.64
2024-05-16 22:02:00,528.55
2024-05-16 22:03:00,528.59
2024-05-16 22:04:00,528.62
2024-05-16 22:05:00,528.52
2024-05-16 22:06:00,528.56
2024-05-16 22:07:00,528.54
2024-05-16 22:08:00,528.48
2024-05-16 22:09:00,528.53
2024-05-16 22:10:00,528.55
2024-05-16 22:11:00,528.49
2024-05-16 22:12:00,528.5
2024-05-16 22:13:00,528.51
2024-05-16 22:14:00,528.49
2024-05-16 22:15:00,528.5
2024-05-16 22:16:00,528.48
2024-05-16 22:17:00,528.47
2024-05-16 22:20:00,528.51
2024-05-16 22:22:00,528.56
2024-05-16 22:23:00,528.57
2024-05-16 22:25:00,528.64
2024-05-16 22:26:00,528.62
2024-05-16 22:28:00,528.64
2024-05-16 22:29:00,528.56
2024-05-16 22:30:00,528.5091
2024-05-16 22:31:00,528.51
2024-05-16 22:33:00,528.4
2024-05-16 22:34:00,528.44
2024-05-16 22:37:00,528.44
2024-05-16 22:39:00,528.5
2024-05-16 22:41:00,528.531
2024-05-16 22:42:00,528.57
2024-05-16 22:43:00,528.551
2024-05-16 22:45:00,528.66
2024-05-16 22:46:00,528.65
2024-05-16 22:47:00,528.639
2024-05-16 22:48:00,528.65
2024-05-16 22:50:00,528.63
2024-05-16 22:53:00,528.63
2024-05-16 22:54:00,528.63
2024-05-16 22:55:00,528.65
2024-05-16 22:56:00,528.66
2024-05-16 22:58:00,528.62
2024-05-16 22:59:00,528.61
2024-05-16 23:00:00,528.6
2024-05-16 23:04:00,528.57
2024-05-16 23:06:00,528.63
2024-05-16 23:14:00,528.63
2024-05-16 23:15:00,528.61
2024-05-16 23:16:00,528.65
2024-05-16 23:23:00,528.68
2024-05-16 23:34:00,528.75
2024-05-16 23:38:00,528.76
2024-05-16 23:39:00,528.8
2024-05-16 23:44:00,528.75
2024-05-16 23:45:00,528.78
2024-05-16 23:46:00,528.75
2024-05-16 23:47:00,528.71
2024-05-16 23:48:00,528.68
2024-05-16 23:49:00,528.68
2024-05-16 23:53:00,528.62
2024-05-16 23:54:00,528.68
2024-05-16 23:55:00,528.68
2024-05-16 23:56:00,528.66
2024-05-16 23:59:00,528.71
2024-05-17 08:00:00,528.75
2024-05-17 08:01:00,528.75
2024-05-17 08:02:00,528.68
2024-05-17 08:03:00,528.62
2024-05-17 08:04:00,528.64
2024-05-17 08:05:00,528.62
2024-05-17 08:06:00,528.6
2024-05-17 08:07:00,528.47
2024-05-17 08:08:00,528.26
2024-05-17 08:09:00,528.25
2024-05-17 08:10:00,528.38
2024-05-17 08:11:00,528.39
2024-05-17 08:13:00,528.39
2024-05-17 08:15:00,528.15
2024-05-17 08:19:00,528.21
2024-05-17 08:21:00,528.21
2024-05-17 08:24:00,528.23
2024-05-17 08:26:00,528.24
2024-05-17 08:27:00,528.26
2024-05-17 08:30:00,528.19
2024-05-17 08:33:00,528.1
2024-05-17 08:34:00,528.13
2024-05-17 08:35:00,528.18
2024-05-17 08:45:00,528.22
2024-05-17 08:56:00,528.37
2024-05-17 08:57:00,528.37
